Latitud,Longitud
6.848,-73.196
6.168,-73.758
6.045,-73.302
6.828,-73.163
6.895,-73.329
6.796,-73.146
6.794,-73.136
6.715,-73.135
6.668,-73.642
6.910,-73.222
6.724,-73.198
6.825,-73.224
6.782,-73.154
6.799,-73.145
6.894,-73.382
6.812,-73.388
6.737,-73.037
6.752,-73.123
7.285,-73.261
6.780,-73.106
6.825,-72.999
6.764,-73.116
6.790,-73.136
6.791,-73.206
6.525,-73.856
6.758,-73.114
6.540,-73.546
6.816,-73.171
6.798,-73.112
6.850,-73.096
6.818,-73.175
6.414,-73.365
6.756,-73.070
6.798,-73.120
6.772,-73.145
6.812,-73.060
6.767,-73.148
6.809,-73.124
6.717,-73.162
7.425,-73.432
6.694,-73.063
6.738,-73.176
6.767,-73.199
6.782,-73.111
6.797,-73.128
6.839,-72.954
6.786,-73.149
6.600,-72.788
6.815,-73.069
6.825,-73.114
6.775,-73.132
6.806,-73.105
6.778,-73.151
6.799,-73.139
5.920,-73.635
6.853,-73.168
6.803,-73.164
6.786,-73.150
7.399,-73.194
7.284,-73.846
6.823,-73.171
6.748,-73.111
6.820,-73.115
6.845,-73.140
6.710,-73.123
6.736,-73.119
6.745,-73.159
6.812,-73.115
6.813,-73.081
6.820,-73.154
6.817,-73.132
6.796,-73.147
6.803,-73.136
6.813,-73.148
6.749,-73.123
6.802,-73.140
6.810,-73.153
6.782,-73.104
6.082,-73.740
6.806,-73.143
6.750,-73.159
6.786,-73.153
6.860,-73.273
6.709,-73.165
6.814,-73.131
6.810,-73.176
6.779,-73.139
6.841,-73.148
6.809,-73.181
6.805,-73.100
6.766,-73.196
7.376,-73.187
6.804,-73.150
6.795,-73.193
6.824,-73.204
6.781,-73.176
6.563,-73.767
6.775,-73.109
6.742,-73.192
6.637,-73.726
6.706,-73.215
6.752,-73.182
6.826,-73.145
6.772,-73.164
6.768,-73.124
6.777,-73.130
6.772,-73.136
6.732,-73.175
6.765,-73.143
6.701,-72.993
6.771,-73.162
6.872,-73.428
6.756,-73.140
6.785,-73.110
6.703,-73.158
6.821,-73.162
6.769,-73.336
6.794,-73.136
6.715,-73.046
6.330,-73.543
6.657,-73.508
6.787,-73.153
6.773,-73.145
6.907,-72.918
6.776,-73.111
6.771,-73.107
6.760,-73.163
6.802,-73.133
5.859,-73.710
6.765,-73.137
6.778,-73.132
6.801,-73.134
6.797,-73.154
6.786,-73.123
6.802,-73.133
5.948,-73.645
6.830,-73.142
6.785,-73.172
6.825,-73.150
6.748,-73.072
6.813,-73.127
6.451,-73.431
6.810,-73.138
6.773,-73.160
